login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
orta,basarat,2020-10-13T12:11:45Z,0,2,,True,True,
orta,cocoapods-binary-cache,2020-10-12T17:52:05Z,0,2,Ruby,True,False,mit
orta,carbon-components-svelte,2020-10-10T19:19:17Z,0,2,Svelte,True,True,apache-2.0
orta,Goldblog,2020-10-09T17:52:26Z,0,2,JavaScript,True,True,mit
orta,awesome-template-literal-types,2020-09-28T20:43:23Z,0,2,,True,True,
orta,typescript-node-es-modules-example,2020-09-28T16:40:12Z,0,2,TypeScript,True,True,
orta,functions-action,2020-09-25T23:39:37Z,0,2,TypeScript,True,True,mit
orta,pr-builds-static-web-apps,2020-09-21T18:28:22Z,2,3,JavaScript,True,True,
orta,tsdx,2020-07-07T13:20:26Z,0,2,TypeScript,True,False,mit
orta,github-activity-writer,2020-09-17T02:05:34Z,18,3,TypeScript,True,True,
orta,azure-static-webapps-stripe-test,2020-09-16T10:37:07Z,1,3,HTML,True,True,mit
orta,fresnel,2020-09-12T15:12:55Z,0,2,TypeScript,True,True,other
steipete,Aspects,2014-05-03T17:06:00Z,8400,275,Objective-C,True,False,mit
orta,monaco-editor,2020-09-09T14:23:30Z,0,2,JavaScript,True,True,mit
orta,js-actions-test,2019-08-13T19:34:19Z,0,3,TypeScript,True,True,mit
orta,type-challenges,2020-09-03T17:11:48Z,0,2,TypeScript,True,False,
orta,fluentui-system-icons,2020-09-02T12:16:04Z,0,2,Swift,True,False,mit
orta,video-notes,2020-08-10T21:53:41Z,12,3,,False,False,cc0-1.0
orta,vscode-typescript-playground-links,2019-07-27T13:00:58Z,10,3,TypeScript,True,True,
orta,ddprrt.github.io,2020-08-24T12:58:35Z,0,2,HTML,True,True,
orta,11ty-twoslash-test,2020-08-23T10:48:14Z,1,3,HTML,True,True,
orta,webapps-deploy,2020-07-27T15:30:54Z,0,2,JavaScript,True,True,mit
orta,docusaurus,2020-08-08T15:19:58Z,0,2,JavaScript,True,False,mit
orta,logo.ts,2020-08-06T17:57:41Z,1,2,,True,True,mit
orta,shiki,2020-05-31T17:21:51Z,0,2,TypeScript,True,True,
orta,electric-clouds,2019-10-14T17:09:44Z,4,3,TypeScript,True,True,
orta,vscode-github-actions,2020-07-30T21:37:16Z,0,2,TypeScript,True,True,
orta,undertaker,2020-07-30T15:23:53Z,0,2,JavaScript,True,True,mit
orta,tk,2020-07-28T13:08:35Z,0,2,HTML,True,True,
orta,azure-sdk-for-js,2020-07-27T17:04:37Z,0,2,TypeScript,True,True,mit
orta,generator-teams,2020-07-27T11:25:50Z,0,2,TypeScript,True,True,mit
orta,one-sup,2020-07-27T11:14:23Z,0,2,,True,True,mit
orta,live-share,2020-07-23T16:01:28Z,0,2,Shell,True,False,other
orta,bot-docs,2020-07-28T20:17:56Z,0,2,C#,True,True,cc-by-4.0
orta,template,2020-07-04T16:06:31Z,0,2,JavaScript,True,True,
orta,virtual-events,2020-07-20T19:32:34Z,0,2,,True,False,mit
orta,31859,2020-07-14T19:02:11Z,0,3,TypeScript,True,True,
orta,git-scm.com,2020-07-14T02:15:42Z,0,2,Ruby,True,False,mit
orta,typescript-play,2019-06-21T22:55:34Z,22,5,JavaScript,False,False,
orta,lsif-tsc-remark-example,2019-11-01T02:13:24Z,0,3,TypeScript,True,True,mit
orta,svelte-ts-template-example,2020-06-27T16:03:28Z,4,3,JavaScript,True,True,
orta,ts-repros-issues-test,2020-06-30T12:12:11Z,1,3,,True,True,
orta,foam,2020-06-28T10:36:31Z,0,2,CSS,True,True,mit
orta,tmp-static-app,2020-06-26T19:23:15Z,0,3,,True,True,
orta,svelte-vscode-unwrittenfun,2020-06-26T15:13:17Z,0,2,TypeScript,True,False,mit
orta,monaco-typescript,2019-07-18T15:23:12Z,1,2,JavaScript,True,False,mit
orta,autocomplete.js,2020-06-22T14:45:18Z,0,2,TypeScript,True,False,mit
orta,docsearch,2020-05-28T13:32:04Z,0,2,JavaScript,True,False,mit
orta,lazerwalker.github.com,2020-06-03T19:20:05Z,0,2,HTML,True,True,
orta,streampub-1,2020-05-23T12:34:05Z,0,2,JavaScript,True,True,isc
orta,streampub,2020-05-23T12:33:44Z,0,3,,True,True,
orta,deno-ci,2020-05-22T12:33:35Z,3,3,TypeScript,True,True,
orta,deno_test,2020-05-20T01:10:45Z,0,3,TypeScript,True,True,
orta,setup-deno,2020-05-20T01:13:29Z,0,2,TypeScript,True,True,mit
orta,tsc-exclude-types-repro,2020-05-13T16:04:34Z,0,2,JavaScript,True,True,
orta,tslint,2017-02-07T19:29:40Z,0,3,TypeScript,True,False,apache-2.0
orta,rome,2020-05-11T19:35:11Z,0,2,TypeScript,True,False,mit
orta,typescript-stickers,2019-09-10T19:32:24Z,40,3,,True,True,cc-by-4.0
orta,create-snowpack-app,2020-05-05T19:31:56Z,0,2,JavaScript,True,True,other
TypeStrong,typescript-compiler-docs,2020-04-26T19:45:47Z,9,18,,True,True,
orta,lua-types,2020-04-27T21:54:38Z,0,2,,True,True,mit
orta,TypeScriptToLua.github.io,2020-04-27T21:14:43Z,0,2,TypeScript,True,True,
orta,ts2php,2020-04-26T22:49:55Z,0,2,TypeScript,True,True,mit
orta,ts-playground-plugin-github-explorer,2020-04-17T12:44:52Z,1,2,HTML,True,True,
orta,typescript-playground-plugin-symbols,2020-04-17T12:14:05Z,1,2,TypeScript,True,True,mit
orta,tsplay.dev,2020-04-17T12:11:19Z,0,2,TypeScript,True,True,mit
orta,ts-playground-plugin-vim,2020-04-17T12:10:23Z,0,2,TypeScript,True,True,
orta,playground-plugin-challenges,2020-03-02T15:40:23Z,0,2,TypeScript,True,True,mit
orta,typescript-playground-plugin-svelte,2020-04-17T12:08:58Z,0,2,HTML,True,True,
orta,typescript-playground-plugin-react,2020-04-16T17:02:35Z,1,2,TypeScript,True,True,mit
orta,electron-global,2020-04-10T11:53:06Z,0,2,C++,True,True,mit
orta,danger,2016-07-31T17:54:37Z,0,3,Ruby,True,False,mit
orta,31465,2020-03-24T21:00:15Z,2,3,TypeScript,True,True,
orta,gatsby-plugin-client-side-redirect,2020-03-18T14:35:22Z,0,2,JavaScript,True,True,mit
orta,dt-mergebot,2019-12-10T15:45:17Z,0,2,TypeScript,True,False,mit
orta,vetur,2020-03-15T21:10:37Z,0,2,TypeScript,True,False,mit
orta,pxt-arcade,2020-03-10T15:41:54Z,0,2,TypeScript,True,False,mit
orta,vscode-debug-visualizer,2020-02-28T21:54:47Z,0,2,TypeScript,True,True,mit
orta,foundation,2020-02-21T12:54:04Z,0,2,,True,False,mit
orta,BackstopJS,2020-01-26T22:27:02Z,0,2,JavaScript,True,True,mit
orta,lighthouse-ci-action,2019-11-08T13:48:22Z,0,2,JavaScript,True,True,mit
orta,graphql-wg,2018-01-30T13:04:39Z,0,3,,True,False,
orta,action,2020-01-23T16:02:18Z,1,3,TypeScript,True,True,
tsnyc,governance,2019-07-24T13:44:15Z,3,3,,True,True,other
orta,focus-dt,2019-12-16T13:48:14Z,0,2,TypeScript,True,True,apache-2.0
orta,types-publisher,2019-09-14T13:50:38Z,0,2,TypeScript,True,True,mit
orta,danger-plugin-lighthouse,2019-11-08T16:04:07Z,22,4,HTML,True,True,mit
orta,yarn,2017-09-11T19:23:38Z,0,3,JavaScript,True,False,other
orta,markdown-toc,2019-11-30T12:01:23Z,0,2,JavaScript,True,False,mit
orta,spectacles-i,2019-11-20T15:09:06Z,0,2,JavaScript,True,True,
orta,website-4,2019-11-19T12:41:26Z,0,2,JavaScript,True,True,mit
orta,github-script,2019-11-18T19:38:45Z,0,2,JavaScript,True,False,mit
orta,TypeScript-wiki,2018-08-11T10:07:26Z,0,3,Batchfile,True,False,
orta,initit,2020-02-02T16:13:02Z,1,2,JavaScript,True,False,
orta,TNTSHB,2019-11-14T18:30:00Z,0,2,TypeScript,True,False,mit
orta,supports-hyperlinks,2019-11-12T21:52:22Z,0,2,JavaScript,True,True,mit
orta,gatsby-plugin-codegen,2019-11-11T16:59:19Z,1,2,JavaScript,True,True,
orta,gluegun,2018-01-30T21:44:22Z,0,3,TypeScript,True,False,mit
orta,discord-open-source,2019-10-22T18:09:43Z,0,2,JavaScript,True,True,
orta,types.ts,2019-10-18T22:49:11Z,1,2,,True,False,mit
orta,fs-jetpack,2019-10-15T21:43:19Z,0,2,TypeScript,True,False,mit
orta,chapter,2019-10-15T13:49:44Z,0,2,,True,True,bsd-3-clause
orta,create-react-app,2016-12-01T13:16:27Z,1,3,JavaScript,True,True,other
orta,react-native-website,2018-04-19T17:03:53Z,2,3,JavaScript,True,False,mit
orta,DefinitelyTyped,2016-11-23T12:59:20Z,1,3,TypeScript,True,True,other
orta,graphql-zeus,2019-10-08T21:53:13Z,0,2,TypeScript,True,True,mit
orta,api-extractor.com-website,2019-10-07T20:57:47Z,0,2,HTML,True,False,cc-by-4.0
orta,typescript.events,2019-10-04T20:25:34Z,0,2,HTML,True,True,
orta,test-code-owners-repo,2019-09-29T12:30:03Z,0,3,,True,True,
orta,travel,2013-11-21T21:54:38Z,3,6,,True,True,
orta,tfjs,2019-09-07T07:10:42Z,0,2,TypeScript,True,False,apache-2.0
orta,try-samples,2019-09-18T20:40:59Z,0,2,C#,True,True,cc-by-4.0
JohnSundell,Marathon,2017-03-12T16:13:01Z,1863,23,Swift,False,False,mit
orta,tsd,2019-09-13T14:48:28Z,1,2,TypeScript,True,True,mit
orta,dts-critic,2019-09-12T17:13:24Z,0,2,JavaScript,True,True,mit
orta,github-webhook-event-types,2017-08-26T11:55:15Z,26,4,TypeScript,True,False,mit
orta,cspell,2019-08-30T20:49:02Z,0,2,TypeScript,True,True,mit
orta,ts-ast-viewer,2019-08-27T13:35:57Z,0,2,TypeScript,True,False,mit
orta,website-2,2017-09-12T14:19:55Z,0,3,JavaScript,True,False,
orta,vscode-open-in-github,2019-08-02T15:33:32Z,0,2,JavaScript,True,True,mit
orta,TypeScript-React-Starter,2019-07-31T00:18:29Z,2,2,TypeScript,True,True,mit
orta,proposal-nullish-coalescing,2019-07-24T11:43:33Z,0,2,HTML,True,False,
orta,website-3,2019-07-17T12:28:37Z,0,2,HTML,True,True,mit
orta,just,2019-06-27T17:56:20Z,0,2,JavaScript,True,True,mit
orta,npm-search,2019-06-14T14:15:37Z,0,2,JavaScript,True,True,mit
orta,seti-ui,2019-06-19T16:27:58Z,0,2,CSS,True,True,mit
orta,windows-notes,2019-06-11T16:19:37Z,11,3,,True,True,mit
orta,rebase,2011-12-26T20:42:34Z,4,3,HTML,True,True,
orta,ts-server,2019-04-27T22:18:02Z,0,3,,True,True,mit
orta,react-native-cli,2019-03-21T09:43:26Z,1,3,JavaScript,True,True,mit
orta,ts_nyc_apr_2019,2019-04-17T14:24:55Z,0,3,,True,True,mit
orta,ORStackView,2013-09-10T14:09:03Z,424,13,Objective-C,True,True,mit
orta,bad-russian-jokes-bot,2019-04-02T15:27:30Z,1,4,JavaScript,True,True,
orta,discussions-and-proposals,2018-08-15T10:54:57Z,0,3,,True,False,
danger,peril-settings-linter,2018-09-16T02:15:17Z,4,4,TypeScript,True,True,mit
orta,json-graphql-server,2019-02-15T20:45:09Z,0,3,JavaScript,True,False,mit
orta,react-native-navigator-ios,2019-03-21T16:34:54Z,1,3,Objective-C,True,True,
orta,cocoapods-binary,2019-03-20T07:55:25Z,0,3,Ruby,True,True,mit
orta,react-native-unimodules,2019-03-19T07:50:29Z,1,3,Groovy,True,True,mit
orta,react-native-mapbox-gl,2018-11-07T21:06:41Z,0,3,Java,True,True,other
orta,pull-lock,2019-02-25T01:38:10Z,18,3,TypeScript,True,True,mit
orta,Dashscreens,2018-07-20T14:26:18Z,5,3,Objective-C,True,True,mit
orta,graphql.github.io,2019-02-02T17:43:45Z,0,3,JavaScript,True,True,other
orta,domhandler,2019-02-09T20:54:06Z,0,3,JavaScript,True,True,bsd-2-clause
orta,AWS-Lambda-Layers-Example,2019-02-09T04:19:04Z,8,3,JavaScript,True,True,mit
orta,ts-jest,2017-08-05T17:06:25Z,1,3,TypeScript,True,True,mit
orta,Specs,2012-06-25T11:22:52Z,2,2,,True,True,
orta,socks-site,2019-01-23T21:12:30Z,1,3,HTML,True,True,
orta,Unbox,2018-12-21T12:46:39Z,0,3,Swift,True,True,mit
orta,Signal-iOS,2015-08-19T18:17:14Z,3,3,C,True,True,
orta,Signal-Pods,2019-01-05T16:35:00Z,0,3,C,True,False,
orta,slack-moji,2019-01-16T13:48:42Z,0,3,Ruby,True,True,mit
orta,OctoDog,2019-01-12T18:02:39Z,27,3,Swift,True,True,mit
orta,signale,2019-01-08T20:25:03Z,0,3,JavaScript,True,True,mit
orta,Rocket,2018-12-23T17:44:13Z,0,3,Swift,True,True,
orta,pragmatic-testing,2014-09-06T13:42:41Z,540,52,Ruby,True,True,
orta,SPMModuleInterface,2018-12-26T02:33:17Z,2,3,Swift,True,True,mit
orta,SwiftFormat,2018-11-25T16:27:49Z,0,3,Swift,True,True,mit
orta,SourceDocs,2018-12-16T13:18:54Z,0,3,Swift,True,True,mit
orta,instacast,2018-12-12T17:55:56Z,0,3,Objective-C,True,True,other
orta,horizon,2018-12-04T17:14:59Z,0,3,Ruby,True,True,
orta,command,2018-12-10T03:02:33Z,0,3,TypeScript,True,True,mit
orta,azure-cosmos-js,2018-12-09T18:43:23Z,0,3,TypeScript,True,True,mit
orta,react-storybooks-relay-container,2016-07-22T16:59:42Z,39,4,JavaScript,True,True,mit
orta,swift-snapshot-testing,2018-12-03T21:40:24Z,0,3,Swift,True,True,mit
orta,done,2018-12-02T15:02:04Z,6,5,Objective-C,True,True,mit
orta,dts-platform-gen,2018-11-30T22:32:08Z,0,3,TypeScript,True,True,mit
orta,vscode-swiftlint,2018-11-25T17:38:50Z,0,3,JavaScript,True,False,mit
orta,MarkdownGenerator,2019-03-07T11:17:16Z,0,3,Swift,True,True,apache-2.0
orta,SwiftTryCatch,2018-11-28T18:21:45Z,0,3,Objective-C,True,True,mit
orta,Sourcery,2018-11-29T12:06:16Z,1,3,Swift,True,True,mit
orta,vscode-swiftformat,2018-11-24T13:56:17Z,0,3,TypeScript,True,True,mit
orta,hammerspoon,2018-12-01T13:06:48Z,0,3,Objective-C,True,True,mit
orta,cli-1,2018-11-21T00:06:26Z,0,3,JavaScript,True,True,other
orta,octokit.swift,2018-11-12T22:20:44Z,1,3,Swift,True,False,mit
orta,mondrian,2018-11-07T23:13:22Z,8,4,TypeScript,True,True,mit
orta,cli,2018-11-09T00:09:18Z,0,3,JavaScript,True,False,mit
orta,swift-package-manager,2017-08-24T20:10:04Z,0,3,Swift,True,False,apache-2.0
orta,omakase-create-react-app-example,2018-10-30T19:12:28Z,11,3,JavaScript,True,True,mit
orta,type-graphql,2018-10-17T18:11:49Z,0,3,TypeScript,True,True,mit
orta,graphql-tools,2017-11-27T21:54:07Z,0,3,TypeScript,True,True,mit
orta,vscode-hcl,2018-10-01T23:32:51Z,0,3,HCL,True,True,other
orta,swapi-graphql,2019-05-15T18:11:39Z,0,3,JavaScript,True,False,other
mdole,easy-pr,2018-09-29T14:41:52Z,0,2,TypeScript,True,True,mit
xtina-starr,pull-lock,2017-12-13T16:44:05Z,8,3,JavaScript,True,True,mit
orta,husky,2018-09-27T21:48:57Z,0,3,JavaScript,True,True,mit
orta,incorporeal,2018-09-26T03:22:11Z,6,3,TypeScript,True,True,mit
orta,brite,2018-09-25T15:10:24Z,0,3,TypeScript,True,True,
orta,fast-neural-style,2018-09-19T22:53:44Z,0,3,Lua,True,True,
orta,agenda,2018-08-30T02:21:01Z,1,3,JavaScript,True,True,other
orta,docker.github.io,2018-08-26T15:43:07Z,0,3,JavaScript,True,False,apache-2.0
orta,greenhouse-slack,2018-08-14T20:05:38Z,0,3,JavaScript,True,True,mit
orta,prompt,2018-08-11T10:43:43Z,0,3,Shell,True,True,mit
orta,keybase-gpg-github,2018-08-11T14:50:47Z,0,3,,True,False,
orta,vscode-ios-common-files,2016-08-25T20:38:11Z,35,3,JavaScript,True,True,mit
orta,react-typescript-cheatsheet,2018-08-05T20:26:53Z,1,3,,True,True,mit
orta,styled-bootstrap-grid,2018-07-27T20:43:26Z,1,3,JavaScript,True,True,mit
orta,electronvolt,2018-07-26T16:42:04Z,5,3,TypeScript,True,True,mit
orta,electron-webpack-quick-start,2018-07-26T14:58:16Z,0,3,JavaScript,True,True,
orta,react-tracking,2018-07-12T14:15:25Z,1,3,JavaScript,True,True,other
dblock,ARTiledImageView,2014-03-15T17:12:44Z,232,10,Objective-C,True,True,mit
orta,tipsi-stripe,2018-06-24T15:26:27Z,0,3,JavaScript,True,True,mit
orta,dtslint,2018-06-24T14:45:24Z,0,3,TypeScript,True,True,mit
orta,microsoft-drop-ice,2018-06-20T19:29:04Z,0,3,,True,True,
orta,emission,2018-06-20T10:20:45Z,0,3,TypeScript,True,True,mit
orta,peril-settings,2018-05-06T21:40:51Z,0,3,,True,True,mit
orta,peril-systems-cra,2018-06-10T20:25:51Z,2,3,TypeScript,True,True,mit
orta,graphql-relay-tools,2018-06-11T11:38:06Z,0,3,JavaScript,True,True,mit
orta,blog,2015-04-26T10:49:46Z,1,3,HTML,True,False,apache-2.0
DinosaurDad,ARAnalytics,2017-07-17T15:45:49Z,0,2,Objective-C,True,True,mit
orta,hypercli,2018-01-27T17:27:29Z,0,3,Go,True,True,apache-2.0
orta,kf-theme-vscode,2018-05-27T21:31:41Z,1,3,,True,True,gpl-3.0
orta,deltadog,2018-05-21T00:29:51Z,0,3,JavaScript,True,True,
orta,node-github,2017-12-31T21:00:16Z,1,3,JavaScript,True,False,mit
orta,vscode-themes,2017-07-30T11:04:03Z,15,4,JavaScript,True,True,mit
orta,homebrew-core,2017-08-26T15:05:14Z,0,3,Ruby,True,False,bsd-2-clause
orta,nextjs-typescript-hrm-bug-example,2018-05-06T20:25:17Z,1,3,JavaScript,True,True,
orta,ci,2018-05-07T11:51:42Z,0,3,Ruby,True,False,mit
orta,graphql-playground,2018-05-06T18:34:01Z,1,3,TypeScript,True,True,mit
orta,ProColors,2018-05-27T21:30:52Z,0,3,Shell,True,True,
orta,node-graphql-server,2018-04-28T14:52:17Z,0,3,JavaScript,True,True,
storybook-eol,design,2018-03-24T21:38:20Z,0,4,,False,True,mit
orta,github-pages-with-jekyll,2018-04-22T18:23:57Z,0,3,,True,True,
orta,docs-1,2018-04-21T08:37:11Z,0,3,JavaScript,True,False,mit
orta,GitHawk,2018-02-10T12:54:43Z,6,4,Swift,True,False,mit
orta,slack,2018-04-09T21:44:36Z,0,3,JavaScript,True,False,mit
orta,gql,2018-02-21T18:56:32Z,0,3,JavaScript,True,True,
orta,GitDawg,2018-03-19T12:57:26Z,19,6,Ruby,True,True,mit
orta,Storytime,2018-04-06T18:04:26Z,0,3,Objective-C,True,True,mit
ashfurrow,ARCollectionViewMasonryLayout,2014-03-24T11:53:37Z,185,7,Objective-C,True,True,mit
orta,prettier,2018-01-07T13:52:24Z,0,3,JavaScript,True,True,mit
orta,cocoapods-check,2016-04-21T07:12:08Z,1,3,Ruby,True,True,apache-2.0
orta,vscode-stylelint,2017-06-27T18:22:42Z,1,3,JavaScript,True,False,
orta,apollo-ios,2017-12-22T19:49:38Z,0,3,Swift,True,True,mit
orta,RedXcode,2014-07-21T08:33:53Z,91,6,Objective-C,True,True,mit
orta,Quick,2014-08-07T20:27:58Z,1,2,Swift,True,False,apache-2.0
orta,ping,2017-06-23T18:40:00Z,0,3,Ruby,True,False,mit
orta,github-clippers,2016-02-26T19:21:07Z,22,3,JavaScript,True,True,mit
orta,Interstellar,2018-03-06T21:58:25Z,0,3,Swift,True,True,mit
orta,gh_inspector,2016-05-05T22:35:04Z,49,5,Ruby,True,False,mit
orta,babel,2018-02-27T13:49:27Z,0,3,JavaScript,True,True,mit
orta,flowgen,2018-02-19T17:09:05Z,0,3,JavaScript,True,True,other
orta,react,2017-12-15T23:28:02Z,0,3,JavaScript,True,True,mit
lazerwalker,art-on-walls-prototype,2017-11-14T18:31:06Z,7,5,Objective-C,True,False,mit
orta,ARKit-Example-by-Apple,2018-02-08T16:21:19Z,0,3,Swift,True,True,
orta,create-react-native-app-typescript,2018-02-07T22:23:06Z,0,3,JavaScript,True,False,bsd-3-clause
orta,relay-compiler-language-typescript,2018-02-07T13:34:04Z,0,3,TypeScript,True,True,mit
orta,gh-commentify,2017-07-15T15:28:40Z,15,3,TypeScript,True,True,bsd-3-clause
orta,detox,2018-02-02T20:04:46Z,0,3,JavaScript,True,True,mit
orta,Custom-UIKit-NavigationBar,2018-01-31T21:57:07Z,0,3,Swift,True,True,mit
orta,a,2018-01-30T15:41:33Z,1,4,TypeScript,True,True,mit
orta,react-styled-components-for-designers,2018-01-29T18:17:11Z,0,3,JavaScript,True,True,
jamiebuilds,open-source-by-default-manifesto,2018-01-25T00:32:32Z,13,7,,False,False,
orta,homebrew-cask,2014-03-20T11:41:12Z,1,2,Ruby,True,False,bsd-2-clause
orta,react-native-parallax-scroll-view,2016-10-12T14:52:39Z,0,3,JavaScript,True,True,isc
orta,egghead,2018-01-21T17:22:01Z,2,3,,True,True,
orta,code-profiles,2018-01-21T17:04:40Z,0,3,,True,True,
